@relation flowClassify

@attribute srcIp numeric
@attribute dstIp numeric
@attribute srcPort numeric
@attribute dstPort numeric
@attribute protocol numeric
@attribute serverOrClient numeric
@attribute packetSize numeric
@attribute class {Elephant, Mouse}

@data

% instances: 7168

1150344045,1844015049,494,7,17,0,114,Mouse
1253915593,1084218841,3,2110,6,1,313,Mouse
480358455,1084218853,9,1123,6,1,140,Mouse
1712258276,1084218760,9,353,6,2,4380,Mouse
480358455,1084218853,9,1124,6,1,140,Mouse
480358455,1084218853,9,1121,6,1,140,Mouse
1119401885,1084218628,2071,229,6,2,4344,Mouse
480358455,1084218853,9,1122,6,1,140,Mouse
480358455,1084218853,9,1127,6,1,139,Mouse
480358455,1084218853,9,1128,6,1,140,Mouse
480358455,1084218853,9,1125,6,1,140,Mouse
1101364849,1084218773,3,57,6,2,1303,Mouse
480358455,1084218853,9,1126,6,1,140,Mouse
1844015045,1084218848,74,690,17,0,348,Mouse
1150322468,1084218816,9,611,17,0,166,Mouse
1150344045,1844015054,656,7,17,0,120,Mouse
480358455,1084218853,9,1129,6,1,4380,Mouse
1844015040,1084218657,74,430,17,0,116,Mouse
1150322468,1084218816,9,651,17,0,398,Mouse
368587859,1084218844,97,126,6,2,4259,Mouse
1844014937,1084218872,74,126,17,0,232,Mouse
1150344045,1844015055,94,7,17,0,120,Mouse
1084219134,1084218657,25,26,17,0,900,Mouse
3678579792,1084218848,9,1424,6,1,4356,Mouse
356523775,1084218860,9,532,6,2,4380,Mouse
164475856,1084218787,9,103,6,2,2632,Mouse
1084219134,1084218762,25,26,17,0,652,Mouse
1150322468,1084218816,9,644,17,0,71,Mouse
368587859,1084218844,97,138,6,2,522,Mouse
276704656,1084218654,9,1017,6,2,3338,Mouse
1084220398,1084218859,9,420,17,0,309,Mouse
1084220398,1084218859,9,421,17,0,275,Mouse
276704656,1084218654,9,1010,6,2,2475,Mouse
1084220398,1084218859,9,424,17,0,81,Mouse
2484426131,1084218631,9,416,6,2,262,Mouse
1844015087,1084218848,74,344,17,0,348,Mouse
1084220398,1084218859,9,417,17,0,398,Mouse
1150322600,1084218640,26,45,6,2,2966,Mouse
3678579792,1084218848,9,1415,6,1,4356,Mouse
1084728227,1084218780,47,292,6,2,157,Mouse
1843964740,1084218776,74,372,17,0,232,Mouse
1150344045,1844015053,675,7,17,0,114,Mouse
1150322468,1084218816,9,639,17,0,344,Mouse
1150322600,1084218640,26,42,6,2,1807,Mouse
1150322468,1084218816,9,635,17,0,159,Mouse
1084218878,1084169425,17,17,17,0,204,Mouse
1844015043,1084218625,74,485,17,0,116,Mouse
44148684,1084218768,9,269,6,2,179,Mouse
1084220398,1084218820,9,688,17,0,150,Mouse
356523775,1084218860,9,517,6,2,4380,Mouse
356523775,1084218860,9,515,6,2,4380,Mouse
1150322600,1084218640,26,36,6,2,1796,Mouse
356523775,1084218860,9,513,6,2,4380,Mouse
356523775,1084218860,9,512,6,2,4380,Mouse
356523775,1084218860,9,511,6,2,4380,Mouse
1844014989,1084218848,74,634,17,0,232,Mouse
356523775,1084218860,9,510,6,2,4380,Mouse
1150322600,1084218640,26,37,6,2,2438,Mouse
339256680,1084218860,9,190,6,2,4380,Mouse
273521705,1084218785,9,20,6,2,3337,Mouse
1084218666,1084218840,17,17,17,0,124,Mouse
2484426131,1084218631,9,432,6,2,1536,Mouse
290230460,1084218848,9,1243,6,1,2720,Mouse
290230460,1084218848,9,1242,6,1,967,Mouse
273521705,1084218785,9,19,6,2,120,Mouse
290230460,1084218848,9,1241,6,1,976,Mouse
290230460,1084218848,9,1240,6,1,4320,Mouse
2484426131,1084218631,9,435,6,2,263,Mouse
281689296,1084218787,9,711,6,2,1465,Mouse
281689296,1084218787,9,712,6,2,603,Mouse
1844014881,1084218643,74,193,17,0,116,Mouse
1844015096,1084218776,74,372,17,0,232,Mouse
1084220398,1084218820,9,625,17,0,153,Mouse
471993054,1084218835,9,87,17,0,300,Mouse
1119401885,1084218628,1984,315,6,2,4344,Mouse
44401819,1084218848,9,1517,6,1,3012,Mouse
271147829,1084218787,9,445,6,2,623,Mouse
44401819,1084218848,9,1518,6,1,494,Mouse
